utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
12159986.691172, 8264.654085, 1017.852280, 805.354831, 2104.702574, 0.000000, 0.339493, 0.058012, 0.044323, 0.231914, 0.245857, 5.019937, 10.295441, 11.383305, 46.437367, 42.278981
12553713.509712, 8320.888934, 991.569999, 742.104572, 2066.991042, 0.003087, 0.521218, 0.105507, 0.115048, 0.326841, 0.273797, 4.224838, 9.092345, 10.559305, 46.853656, 43.764378
12122333.528284, 8842.115814, 1053.866946, 665.556368, 2267.766942, 0.000000, 0.062366, 0.085147, 0.005151, 0.228724, 0.259494, 2.722044, 6.687703, 7.680980, 43.858554, 41.635041
11625635.197376, 8344.368940, 915.280369, 675.939719, 2101.360426, 0.023306, 0.042331, 0.191480, 0.009118, 0.233195, 0.221128, 7.582735, 15.031153, 17.928919, 52.060362, 42.568045
12140711.241540, 8471.374404, 1062.619400, 767.673710, 2297.129544, 0.000000, 0.097419, 0.462578, 0.315595, 0.238661, 0.281227, 5.361065, 11.040585, 12.982978, 48.229778, 41.702979
11951975.776814, 8387.914171, 840.188905, 605.803970, 2235.704583, 0.018990, 0.128059, 0.335285, 0.564346, 0.200845, 0.348079, 4.420689, 9.522214, 10.735107, 47.215334, 43.978904
12399990.965443, 8195.264343, 966.199669, 649.165573, 2250.456116, 0.000000, 0.121248, 0.107076, 0.219409, 0.211749, 0.269690, 6.182275, 13.794815, 14.976193, 49.319927, 45.962105
11777101.045693, 8495.239450, 987.104501, 808.930437, 2407.303771, 0.000000, 0.194227, 0.026662, 0.151339, 0.362627, 0.170426, 4.007968, 9.333847, 8.730333, 46.319620, 42.153012
12163891.797984, 8792.552142, 925.085183, 758.259304, 2189.496000, 0.002649, 0.547353, 0.268407, 0.120409, 0.201276, 0.204311, 7.072231, 13.601787, 16.191172, 50.404779, 42.614205
12770634.803782, 8688.252451, 881.559165, 756.326320, 1972.770164, 0.000000, 0.547157, 0.145448, 0.049579, 0.369914, 0.291997, 4.757657, 10.477324, 10.448803, 46.999811, 42.707241
11979358.327683, 8491.165618, 1046.461820, 738.173485, 2123.431046, 0.000157, 0.009468, 0.051443, 0.155565, 0.176064, 0.289438, 2.536748, 5.815992, 6.509526, 43.053174, 40.833028
